"","d.id","p.id","name","value","valType","startLine","scriptNum","scriptName"
"1","d1","p3","d","10","{""container"":""vector"", ""dimension"":[1], ""type"":[""numeric""]}",1,1,"console"
"2","d2","p4","a","1","{""container"":""vector"", ""dimension"":[1], ""type"":[""numeric""]}",2,1,"console"
"3","d2","p6","a","1","{""container"":""vector"", ""dimension"":[1], ""type"":[""numeric""]}",5,1,"console"
"4","d3","p4","vector.1"," 1  2  3  4  5  6  7  8  9 10","{""container"":""vector"", ""dimension"":[10], ""type"":[""integer""]}",2,1,"console"
"5","d4","p5","output"," 1  2  3  4  5  6  7  8  9 10","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}",3,1,"console"
"6","d5","p6","e","11","{""container"":""vector"", ""dimension"":[1], ""type"":[""numeric""]}",5,1,"console"
"7","d6","p7","f","20","{""container"":""vector"", ""dimension"":[1], ""type"":[""numeric""]}",6,1,"console"
"8","d7","p8","vector.2","11 12 13 14 15 16 17 18 19 20","{""container"":""vector"", ""dimension"":[10], ""type"":[""integer""]}",7,1,"console"
"9","d8","p9","output","11 12 13 14 15 16 17 18 19 20","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}",8,1,"console"
"10","d9","p10","dev.2","","Device",11,1,"console"
"11","d10","p11","dev.2","","Device",12,1,"console"
"12","d11","p12","dev.2","","Device",13,1,"console"
"13","d12","p13","dev.off.12.pdf","data/12-dev.off.12.pdf","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}",14,1,"console"
"14","d13","p14","dev.2","","Device",17,1,"console"
"15","d14","p15","vector.3","21 22 23 24 25 26 27 28 29 30","{""container"":""vector"", ""dimension"":[10], ""type"":[""integer""]}",18,1,"console"
"16","d15","p16","vector.4","41 42 43 44 45 46 47 48 49 50","{""container"":""vector"", ""dimension"":[10], ""type"":[""integer""]}",19,1,"console"
"17","d16","p17","dev.2","","Device",20,1,"console"
"18","d17","p18","dev.2","","Device",21,1,"console"
"19","d18","p19","plot.pdf","data/18-plot.pdf","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}",22,1,"console"
"20","d19","p20","b","5","{""container"":""vector"", ""dimension"":[1], ""type"":[""numeric""]}",25,1,"console"
"21","d20","p20","g","55","{""container"":""vector"", ""dimension"":[1], ""type"":[""numeric""]}",25,1,"console"
"22","d21","p21","output","55","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}",26,1,"console"
"23","d22","p22","output","""End of script!""","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}",29,1,"console"
